!def(XShmGetEventBase),
def(__linux__),
def(THUMB_DEBUG),
def(HAVE_XTEST),
!def(USE_STABLE_LIBGNOMEUI),
(def(USE_STABLE_LIBGLIB)&def(__linux__)),
True,
def(HAVE_X86),
!def(HAVE_X86),
def(ENABLE_REMEMBER_INFO),
