!def(HAVE_XTEST),
def(HAVE_XTEST),
True,
!def(USE_STABLE_LIBGNOMEUI),
def(ENABLE_REMEMBER_INFO),
def(THUMB_DEBUG),
!def(XShmGetEventBase),
