!def(HAVE_XTEST),
def(THUMB_DEBUG),
!def(XShmGetEventBase),
!def(USE_STABLE_LIBGNOMEUI),
True,
def(HAVE_XTEST),
def(ENABLE_REMEMBER_INFO),
