!def(XShmGetEventBase),
!def(USE_STABLE_LIBGNOMEUI),
def(THUMB_DEBUG),
def(HAVE_XTEST),
True,
def(ENABLE_REMEMBER_INFO),
!def(HAVE_XTEST),
