!def(USE_STABLE_LIBGNOMEUI),
!def(HAVE_X86),
def(__linux__),
def(THUMB_DEBUG),
def(ENABLE_REMEMBER_INFO),
True,
(def(USE_STABLE_LIBGLIB)&def(__linux__)),
!def(XShmGetEventBase),
def(HAVE_XTEST),
def(HAVE_X86),
