def(HAVE_XTEST),
!def(XShmGetEventBase),
!def(HAVE_GTK_ONLY),
!def(HAVE_X86),
True,
def(HAVE_GTK_ONLY),
def(THUMB_DEBUG),
def(__linux__),
!def(USE_STABLE_LIBGNOMEUI),
def(HAVE_X86),
def(ENABLE_REMEMBER_INFO),
