!def(USE_STABLE_LIBGNOMEUI),
!def(HAVE_GTK_ONLY),
!def(XShmGetEventBase),
!def(HAVE_X86),
def(ENABLE_REMEMBER_INFO),
def(__linux__),
True,
def(HAVE_GTK_ONLY),
def(HAVE_X86),
def(THUMB_DEBUG),
def(HAVE_XTEST),
