!def(USE_STABLE_LIBGNOMEUI),
def(HAVE_XTEST),
def(THUMB_DEBUG),
!def(XShmGetEventBase),
!def(HAVE_X86),
!def(HAVE_GTK_ONLY),
def(ENABLE_REMEMBER_INFO),
def(__linux__),
True,
def(HAVE_X86),
