!def(XShmGetEventBase),
def(THUMB_DEBUG),
True,
def(HAVE_GTK_ONLY),
!def(USE_STABLE_LIBGNOMEUI),
!def(HAVE_GTK_ONLY),
!def(HAVE_X86),
def(HAVE_XTEST),
def(ENABLE_REMEMBER_INFO),
def(HAVE_X86),
def(__linux__),
