!def(XShmGetEventBase),
def(ENABLE_REMEMBER_INFO),
!def(USE_STABLE_LIBGNOMEUI),
True,
def(HAVE_RSVG),
def(HAVE_XTEST),
!def(HAVE_XTEST),
