!def(HAVE_GTK_ONLY),
!def(HAVE_X86),
!def(USE_STABLE_LIBGNOMEUI),
def(HAVE_X86),
def(__linux__),
!def(XShmGetEventBase),
def(ENABLE_REMEMBER_INFO),
def(HAVE_GTK_ONLY),
def(HAVE_XTEST),
def(THUMB_DEBUG),
True,
