!def(USE_STABLE_LIBGNOMEUI),
def(ENABLE_REMEMBER_INFO),
!def(HAVE_X86),
def(THUMB_DEBUG),
def(HAVE_X86),
(def(USE_STABLE_LIBGLIB)&def(__linux__)),
!def(XShmGetEventBase),
True,
def(__linux__),
def(HAVE_XTEST),
