!def(USE_STABLE_LIBGNOMEUI),
def(HAVE_X86),
True,
def(__linux__),
def(THUMB_DEBUG),
!def(HAVE_X86),
def(HAVE_XTEST),
def(ENABLE_REMEMBER_INFO),
!def(HAVE_GTK_ONLY),
(def(USE_STABLE_LIBGLIB)&def(__linux__)),
!def(XShmGetEventBase),
