def(THUMB_DEBUG),
True,
def(HAVE_XTEST),
!def(USE_STABLE_LIBGNOMEUI),
!def(HAVE_X86),
def(__linux__),
def(HAVE_X86),
!def(XShmGetEventBase),
def(ENABLE_REMEMBER_INFO),
(def(USE_STABLE_LIBGLIB)&def(__linux__)),
