!def(USE_STABLE_LIBGNOMEUI),
def(HAVE_X86),
!def(XShmGetEventBase),
True,
def(HAVE_XTEST),
def(__linux__),
!def(HAVE_X86),
(def(USE_STABLE_LIBGLIB)&def(__linux__)),
def(THUMB_DEBUG),
def(ENABLE_REMEMBER_INFO),
