def(HAVE_GTK_ONLY),
def(HAVE_X86),
def(THUMB_DEBUG),
True,
!def(HAVE_GTK_ONLY),
!def(HAVE_X86),
!def(XShmGetEventBase),
def(__linux__),
!def(USE_STABLE_LIBGNOMEUI),
def(ENABLE_REMEMBER_INFO),
def(HAVE_XTEST),
