!def(HAVE_X86),
def(HAVE_XTEST),
def(HAVE_X86),
def(ENABLE_REMEMBER_INFO),
True,
!def(USE_STABLE_LIBGNOMEUI),
def(THUMB_DEBUG),
!def(XShmGetEventBase),
!def(HAVE_XTEST),
