def(HAVE_GTK_ONLY),
def(THUMB_DEBUG),
!def(HAVE_GTK_ONLY),
def(HAVE_X86),
def(HAVE_XTEST),
True,
def(__linux__),
!def(HAVE_X86),
def(ENABLE_REMEMBER_INFO),
!def(USE_STABLE_LIBGNOMEUI),
!def(XShmGetEventBase),
