def(HAVE_RSVG),
!def(XShmGetEventBase),
def(ENABLE_REMEMBER_INFO),
True,
def(HAVE_XTEST),
!def(USE_STABLE_LIBGNOMEUI),
!def(HAVE_XTEST),
