!def(USE_STABLE_LIBGNOMEUI),
!def(HAVE_GTK_ONLY),
def(__linux__),
def(ENABLE_REMEMBER_INFO),
True,
def(THUMB_DEBUG),
def(HAVE_XTEST),
!def(HAVE_X86),
def(HAVE_X86),
!def(XShmGetEventBase),
