!def(HAVE_GTK_ONLY),
!def(HAVE_X86),
def(HAVE_X86),
def(__linux__),
def(THUMB_DEBUG),
!def(USE_STABLE_LIBGNOMEUI),
def(HAVE_GTK_ONLY),
!def(XShmGetEventBase),
def(HAVE_XTEST),
def(ENABLE_REMEMBER_INFO),
True,
