!def(XShmGetEventBase),
def(ENABLE_REMEMBER_INFO),
!def(USE_STABLE_LIBGNOMEUI),
!def(HAVE_X86),
def(__linux__),
def(HAVE_X86),
def(HAVE_XTEST),
True,
!def(HAVE_GTK_ONLY),
def(THUMB_DEBUG),
