def(HAVE_X86),
def(HAVE_XTEST),
def(ENABLE_REMEMBER_INFO),
def(THUMB_DEBUG),
!def(HAVE_GTK_ONLY),
!def(XShmGetEventBase),
!def(HAVE_X86),
!def(USE_STABLE_LIBGNOMEUI),
def(__linux__),
def(HAVE_GTK_ONLY),
True,
