!def(XShmGetEventBase),
!def(USE_STABLE_LIBGNOMEUI),
def(THUMB_DEBUG),
def(HAVE_X86),
def(__linux__),
def(HAVE_XTEST),
!def(HAVE_X86),
def(ENABLE_REMEMBER_INFO),
!def(HAVE_GTK_ONLY),
True,
