!def(XShmGetEventBase),
!def(HAVE_GTK_ONLY),
def(ENABLE_REMEMBER_INFO),
def(THUMB_DEBUG),
!def(USE_STABLE_LIBGNOMEUI),
True,
!def(HAVE_X86),
def(__linux__),
def(HAVE_X86),
def(HAVE_XTEST),
