def(HAVE_GTK_ONLY),
def(HAVE_X86),
!def(HAVE_X86),
def(THUMB_DEBUG),
!def(HAVE_GTK_ONLY),
def(HAVE_XTEST),
def(__linux__),
True,
def(ENABLE_REMEMBER_INFO),
!def(USE_STABLE_LIBGNOMEUI),
!def(XShmGetEventBase),
