!def(USE_STABLE_LIBGNOMEUI),
!def(HAVE_GTK_ONLY),
def(HAVE_X86),
True,
def(ENABLE_REMEMBER_INFO),
!def(XShmGetEventBase),
def(HAVE_XTEST),
def(THUMB_DEBUG),
!def(HAVE_X86),
def(__linux__),
