!def(USE_STABLE_LIBGNOMEUI),
def(HAVE_XTEST),
def(HAVE_GTK_ONLY),
True,
def(__linux__),
!def(HAVE_X86),
def(ENABLE_REMEMBER_INFO),
!def(HAVE_GTK_ONLY),
def(HAVE_X86),
!def(XShmGetEventBase),
def(THUMB_DEBUG),
