!def(HAVE_GTK_ONLY),
def(HAVE_GTK_ONLY),
def(THUMB_DEBUG),
True,
def(HAVE_X86),
def(HAVE_XTEST),
!def(USE_STABLE_LIBGNOMEUI),
!def(HAVE_X86),
!def(XShmGetEventBase),
def(__linux__),
def(ENABLE_REMEMBER_INFO),
