!def(HAVE_X86),
!def(HAVE_GTK_ONLY),
!def(USE_STABLE_LIBGNOMEUI),
def(ENABLE_REMEMBER_INFO),
def(HAVE_XTEST),
def(HAVE_GTK_ONLY),
True,
def(__linux__),
def(THUMB_DEBUG),
def(HAVE_X86),
!def(XShmGetEventBase),
