!def(HAVE_GTK_ONLY),
def(THUMB_DEBUG),
def(HAVE_XTEST),
def(HAVE_X86),
True,
!def(XShmGetEventBase),
def(__linux__),
!def(HAVE_X86),
!def(USE_STABLE_LIBGNOMEUI),
def(ENABLE_REMEMBER_INFO),
(def(USE_STABLE_LIBGLIB)&def(__linux__)),
