!def(USE_STABLE_LIBGNOMEUI),
def(HAVE_XTEST),
!def(HAVE_X86),
!def(HAVE_GTK_ONLY),
def(HAVE_GTK_ONLY),
def(__linux__),
def(THUMB_DEBUG),
!def(XShmGetEventBase),
def(ENABLE_REMEMBER_INFO),
True,
def(HAVE_X86),
