!def(XShmGetEventBase),
def(THUMB_DEBUG),
def(ENABLE_REMEMBER_INFO),
!def(HAVE_X86),
True,
!def(USE_STABLE_LIBGNOMEUI),
def(__linux__),
def(HAVE_XTEST),
!def(HAVE_GTK_ONLY),
def(HAVE_X86),
