!def(HAVE_GTK_ONLY),
def(HAVE_XTEST),
def(HAVE_X86),
True,
def(__linux__),
!def(HAVE_X86),
!def(XShmGetEventBase),
def(ENABLE_REMEMBER_INFO),
!def(USE_STABLE_LIBGNOMEUI),
def(THUMB_DEBUG),
(def(USE_STABLE_LIBGLIB)&def(__linux__)),
