def(THUMB_DEBUG),
def(ENABLE_REMEMBER_INFO),
!def(XShmGetEventBase),
!def(USE_STABLE_LIBGNOMEUI),
def(HAVE_XTEST),
!def(HAVE_XTEST),
True,
