!def(USE_STABLE_LIBGNOMEUI),
!def(XShmGetEventBase),
def(ENABLE_REMEMBER_INFO),
def(THUMB_DEBUG),
def(HAVE_X86),
True,
!def(HAVE_GTK_ONLY),
(def(USE_STABLE_LIBGLIB)&def(__linux__)),
def(HAVE_XTEST),
def(__linux__),
!def(HAVE_X86),
