!def(HAVE_X86),
def(HAVE_XTEST),
def(ENABLE_REMEMBER_INFO),
def(HAVE_X86),
True,
!def(XShmGetEventBase),
def(HAVE_GTK_ONLY),
def(THUMB_DEBUG),
def(__linux__),
!def(HAVE_GTK_ONLY),
!def(USE_STABLE_LIBGNOMEUI),
