!def(USE_STABLE_LIBGNOMEUI),
def(HAVE_RSVG),
True,
!def(XShmGetEventBase),
def(ENABLE_REMEMBER_INFO),
def(HAVE_XTEST),
!def(HAVE_XTEST),
