!def(XShmGetEventBase),
def(ENABLE_REMEMBER_INFO),
!def(HAVE_XTEST),
!def(USE_STABLE_LIBGNOMEUI),
True,
def(HAVE_XTEST),
def(THUMB_DEBUG),
