!def(XShmGetEventBase),
!def(HAVE_XTEST),
!def(HAVE_X86),
def(ENABLE_REMEMBER_INFO),
def(THUMB_DEBUG),
def(HAVE_XTEST),
True,
def(HAVE_X86),
!def(USE_STABLE_LIBGNOMEUI),
