!def(USE_STABLE_LIBGNOMEUI),
!def(HAVE_GTK_ONLY),
def(ENABLE_REMEMBER_INFO),
!def(HAVE_X86),
!def(XShmGetEventBase),
def(HAVE_X86),
def(HAVE_XTEST),
True,
def(__linux__),
def(THUMB_DEBUG),
