def(HAVE_GTK_ONLY),
!def(HAVE_GTK_ONLY),
!def(USE_STABLE_LIBGNOMEUI),
def(HAVE_X86),
True,
def(ENABLE_REMEMBER_INFO),
def(__linux__),
def(THUMB_DEBUG),
def(HAVE_XTEST),
!def(XShmGetEventBase),
!def(HAVE_X86),
