!def(XShmGetEventBase),
!def(HAVE_X86),
def(ENABLE_REMEMBER_INFO),
def(HAVE_GTK_ONLY),
!def(HAVE_GTK_ONLY),
def(HAVE_XTEST),
def(HAVE_X86),
!def(USE_STABLE_LIBGNOMEUI),
def(THUMB_DEBUG),
True,
def(__linux__),
