!def(USE_STABLE_LIBGNOMEUI),
!def(HAVE_X86),
def(THUMB_DEBUG),
True,
!def(HAVE_GTK_ONLY),
def(HAVE_XTEST),
def(HAVE_X86),
def(__linux__),
def(ENABLE_REMEMBER_INFO),
!def(XShmGetEventBase),
