!def(XShmGetEventBase),
def(HAVE_X86),
!def(HAVE_X86),
def(ENABLE_REMEMBER_INFO),
!def(HAVE_GTK_ONLY),
True,
def(THUMB_DEBUG),
def(__linux__),
!def(USE_STABLE_LIBGNOMEUI),
def(HAVE_XTEST),
