!def(HAVE_GTK_ONLY),
def(HAVE_GTK_ONLY),
def(__linux__),
!def(HAVE_X86),
def(ENABLE_REMEMBER_INFO),
!def(XShmGetEventBase),
def(THUMB_DEBUG),
!def(USE_STABLE_LIBGNOMEUI),
True,
def(HAVE_XTEST),
def(HAVE_X86),
