!def(XShmGetEventBase),
!def(HAVE_GTK_ONLY),
def(HAVE_XTEST),
def(ENABLE_REMEMBER_INFO),
True,
def(__linux__),
def(HAVE_X86),
def(HAVE_GTK_ONLY),
!def(USE_STABLE_LIBGNOMEUI),
!def(HAVE_X86),
def(THUMB_DEBUG),
