!def(USE_STABLE_LIBGNOMEUI),
def(HAVE_X86),
True,
!def(HAVE_X86),
def(ENABLE_REMEMBER_INFO),
def(__linux__),
def(HAVE_XTEST),
!def(XShmGetEventBase),
def(THUMB_DEBUG),
!def(HAVE_GTK_ONLY),
