!def(HAVE_GTK_ONLY),
def(HAVE_GTK_ONLY),
!def(USE_STABLE_LIBGNOMEUI),
def(__linux__),
True,
def(HAVE_XTEST),
!def(XShmGetEventBase),
def(HAVE_X86),
!def(HAVE_X86),
def(ENABLE_REMEMBER_INFO),
def(THUMB_DEBUG),
