!def(HAVE_GTK_ONLY),
!def(XShmGetEventBase),
def(ENABLE_REMEMBER_INFO),
def(__linux__),
def(HAVE_X86),
!def(HAVE_X86),
def(HAVE_GTK_ONLY),
def(HAVE_XTEST),
!def(USE_STABLE_LIBGNOMEUI),
True,
def(THUMB_DEBUG),
