def(HAVE_X86),
def(ENABLE_REMEMBER_INFO),
!def(XShmGetEventBase),
!def(USE_STABLE_LIBGNOMEUI),
!def(HAVE_XTEST),
!def(HAVE_X86),
True,
def(HAVE_XTEST),
def(THUMB_DEBUG),
