!def(HAVE_X86),
def(HAVE_X86),
def(HAVE_XTEST),
!def(HAVE_XTEST),
def(THUMB_DEBUG),
!def(XShmGetEventBase),
!def(USE_STABLE_LIBGNOMEUI),
True,
def(ENABLE_REMEMBER_INFO),
