!def(HAVE_GTK_ONLY),
def(HAVE_X86),
def(HAVE_GTK_ONLY),
def(THUMB_DEBUG),
!def(USE_STABLE_LIBGNOMEUI),
True,
!def(HAVE_X86),
def(HAVE_XTEST),
def(ENABLE_REMEMBER_INFO),
!def(XShmGetEventBase),
def(__linux__),
