def(HAVE_XTEST),
!def(HAVE_GTK_ONLY),
True,
def(ENABLE_REMEMBER_INFO),
def(HAVE_X86),
def(__linux__),
!def(XShmGetEventBase),
!def(HAVE_X86),
def(THUMB_DEBUG),
!def(USE_STABLE_LIBGNOMEUI),
