!def(USE_STABLE_LIBGNOMEUI),
def(HAVE_XTEST),
!def(HAVE_X86),
(def(USE_STABLE_LIBGLIB)&def(__linux__)),
def(THUMB_DEBUG),
True,
def(__linux__),
def(HAVE_X86),
!def(XShmGetEventBase),
def(ENABLE_REMEMBER_INFO),
