!def(XShmGetEventBase),
!def(HAVE_GTK_ONLY),
def(HAVE_GTK_ONLY),
def(HAVE_XTEST),
!def(HAVE_X86),
def(THUMB_DEBUG),
!def(USE_STABLE_LIBGNOMEUI),
True,
def(HAVE_X86),
def(__linux__),
def(ENABLE_REMEMBER_INFO),
