!def(USE_STABLE_LIBGNOMEUI),
def(ENABLE_REMEMBER_INFO),
def(THUMB_DEBUG),
def(HAVE_XTEST),
True,
!def(HAVE_XTEST),
!def(HAVE_X86),
!def(XShmGetEventBase),
def(HAVE_X86),
