!def(HAVE_GTK_ONLY),
!def(HAVE_X86),
def(ENABLE_REMEMBER_INFO),
!def(USE_STABLE_LIBGNOMEUI),
def(THUMB_DEBUG),
!def(XShmGetEventBase),
def(HAVE_XTEST),
def(__linux__),
def(HAVE_X86),
def(HAVE_GTK_ONLY),
True,
