!def(HAVE_XTEST),
!def(USE_STABLE_LIBGNOMEUI),
def(ENABLE_REMEMBER_INFO),
True,
def(THUMB_DEBUG),
!def(XShmGetEventBase),
def(HAVE_XTEST),
