def(HAVE_GTK_ONLY),
def(THUMB_DEBUG),
True,
!def(HAVE_X86),
def(ENABLE_REMEMBER_INFO),
!def(USE_STABLE_LIBGNOMEUI),
def(HAVE_X86),
!def(XShmGetEventBase),
def(HAVE_XTEST),
def(__linux__),
!def(HAVE_GTK_ONLY),
