def(HAVE_GTK_ONLY),
True,
def(HAVE_X86),
!def(USE_STABLE_LIBGNOMEUI),
!def(HAVE_X86),
def(HAVE_XTEST),
def(ENABLE_REMEMBER_INFO),
def(THUMB_DEBUG),
!def(XShmGetEventBase),
!def(HAVE_GTK_ONLY),
def(__linux__),
