!def(HAVE_GTK_ONLY),
!def(USE_STABLE_LIBGNOMEUI),
!def(XShmGetEventBase),
def(HAVE_GTK_ONLY),
def(__linux__),
def(THUMB_DEBUG),
def(ENABLE_REMEMBER_INFO),
True,
def(HAVE_XTEST),
def(HAVE_X86),
!def(HAVE_X86),
