"Sistema","Media","Mediana","Min","Max","Desvio"
"vim",18.4235603247415,0.684027777777778,0,1463.87583333333,595.723427726725
"PaceMaker",7.49693339372679,0.494027777777778,0,5257.89222222222,2145.60881024784
"LibXML",39.8848069270797,4.77916666666667,0,2926.00111111111,1188.78480876668
"Lighttpd",43.9714506949437,1.23458333333333,0.000277777777777778,3172.57888888889,1289.81084254098
"Collected",14.7618074945284,0.473888888888889,0,2613.70722222222,1065.2992278073
"Syslog",14.5847563620345,0.558888888888889,0,1397.50166666667,568.18337075232
"ccache",71.4126273927922,0.518472222222222,0,16383.2036111111,6680.71777671628
"gawk",34.3701019643125,0.717777777777778,0.00111111111111111,1608.42666666667,651.896680218667
"Gzip",450.446214085939,3.52138888888889,0,41902.3358333333,17052.8049639514
"libnfc",42.3182596013612,0.815555555555556,0,3507.78083333333,1427.2366439926
"Libssh",29.0310163043478,0.395416666666667,0,2782.2975,1132.43155824047
"librskafka",21.5526337703756,0.314583333333333,0,6041.675,2463.43710096595
"Mosquitto",37.3275057323015,1.35888888888889,0,726.701388888889,291.745367813757
"MPSolve",85.8435870710663,1.08222222222222,0,78952.2105555556,32223.6016031281
"OpenVPN",52.436102292769,6.7725,0,2192.83638888889,886.62622049424
"Ossec",17.8521032169991,0.299722222222222,0,744.636111111111,302.24078217508
"PianoBar",119.610630072768,18.725,0.00222222222222222,3955.93138888889,1595.15693855678
"SilverSearch",34.5172579345228,0.630555555555556,0,1659.43888888889,672.861789882713
"GNUPlot",260.017677278317,1.58583333333333,0.000277777777777778,1697276.54805556,692887.236879752
"OpenSC",21.4337087751904,1.08388888888889,0,1621.84277777778,658.730438565332
"dia",26.0098603054505,5.33194444444444,0,7556.13694444444,3080.15539953553
"uwsgi",9.78338098134631,0.990694444444445,0,1613.61472222222,657.270575778335
"mapserver",12.3802322879225,1.12861111111111,0,700.434444444444,283.75713248938
"Hexchat",22.7844033225204,0.714722222222222,0,1241.08722222222,503.708133723147
"ethersex",18.9246268392953,0.609722222222222,0,3158.47527777778,1287.03697911832
"m4",135.122962774958,6.55694444444444,0.00333333333333333,7583.30444444444,3080.23637791551
"totem",16.1407204673549,2.35861111111111,0,740.961944444444,299.539661451956
"gnuchess",372.810373931624,1.71333333333333,0.0172222222222222,29574.2341666667,12038.358788553
"Curl",6.90887349780776,0.402638888888889,0,15574.2577777778,6357.31351731138
"Sylpheed",34.5172579345228,0.630555555555556,0,1659.43888888889,672.861789882713
