!def(WIN32),def(ENABLE_SM)
True,def(_WIN32)
def(RANDOM_POOL),True
True,def(WIN32)
True,!def(HAVE_STRLCPY)
!def(_WIN32),True
def(ENABLE_OPENSSL),True
True,(def(ENABLE_OPENSSL)&def(ENABLE_SM))
def(ENABLE_SM),!def(ENABLE_SM)
True,def(ENABLE_ZLIB)
def(ENABLE_PCSC),True
True,(!def(HAVE_GETPASS)&!def(_WIN32))
True,def(ENABLE_PCSC)
True,((((!def(OPENSSL_NO_RSA)&def(OPENSSL_NO_DSA)&def(OPENSSL_NO_DH))|(def(OPENSSL_NO_RSA)&def(OPENSSL_NO_DSA)&def(OPENSSL_NO_DH))|((!def(OPENSSL_NO_RSA)|!def(OPENSSL_NO_DSA)|!def(OPENSSL_NO_DH))&((!def(OPENSSL_NO_RSA)&def(OPENSSL_NO_DSA)&!def(OPENSSL_NO_DH))|(def(OPENSSL_NO_RSA)&def(OPENSSL_NO_DSA)&!def(OPENSSL_NO_DH))|def(OPENSSL_NO_DH))&(def(OPENSSL_NO_RSA)|!def(OPENSSL_NO_DSA)|def(OPENSSL_NO_DH))&(def(OPENSSL_NO_RSA)|!def(OPENSSL_NO_DSA)|!def(OPENSSL_NO_DH))&(!def(OPENSSL_NO_RSA)|!def(OPENSSL_NO_DSA)|def(OPENSSL_NO_DH))))&((!def(OPENSSL_NO_RSA)&def(OPENSSL_NO_DSA)&def(OPENSSL_NO_DH)&((!def(OPENSSL_NO_RSA)&def(OPENSSL_NO_DSA)&def(OPENSSL_NO_DH))|(def(OPENSSL_NO_RSA)&def(OPENSSL_NO_DSA)&def(OPENSSL_NO_DH))))|(!def(OPENSSL_NO_RSA)&!def(OPENSSL_NO_DSA)&(!def(OPENSSL_NO_RSA)|!def(OPENSSL_NO_DSA)|!def(OPENSSL_NO_DH))&(def(OPENSSL_NO_RSA)|!def(OPENSSL_NO_DSA)|!def(OPENSSL_NO_DH)))))|((!def(OPENSSL_NO_RSA)|!def(OPENSSL_NO_DSA)|!def(OPENSSL_NO_DH))&(def(OPENSSL_NO_RSA)|!def(OPENSSL_NO_DSA)|!def(OPENSSL_NO_DH))&((def(OPENSSL_NO_RSA)&def(OPENSSL_NO_DSA)&def(OPENSSL_NO_DH))|(!def(OPENSSL_NO_RSA)&def(OPENSSL_NO_DSA)&!def(OPENSSL_NO_DH))|(def(OPENSSL_NO_RSA)&def(OPENSSL_NO_DSA)&!def(OPENSSL_NO_DH))|(!def(OPENSSL_NO_RSA)&def(OPENSSL_NO_DSA)&def(OPENSSL_NO_DH))|((!def(OPENSSL_NO_RSA)|!def(OPENSSL_NO_DSA)|def(OPENSSL_NO_DH))&(def(OPENSSL_NO_RSA)|!def(OPENSSL_NO_DSA)|def(OPENSSL_NO_DH))&!def(OPENSSL_NO_DH)))&((!def(OPENSSL_NO_RSA)&def(OPENSSL_NO_DSA)&!def(OPENSSL_NO_DH)&((!def(OPENSSL_NO_RSA)&def(OPENSSL_NO_DSA)&!def(OPENSSL_NO_DH))|(def(OPENSSL_NO_RSA)&def(OPENSSL_NO_DSA)&!def(OPENSSL_NO_DH))))|(!def(OPENSSL_NO_RSA)&!def(OPENSSL_NO_DSA)&(!def(OPENSSL_NO_RSA)|!def(OPENSSL_NO_DSA)|def(OPENSSL_NO_DH))&(def(OPENSSL_NO_RSA)|!def(OPENSSL_NO_DSA)|def(OPENSSL_NO_DH))))))
def(_WIN32),(!def(HAVE_GETPASS)&!def(_WIN32))
def(DEBUG_PROFILE),True
def(asepcos_USE_PIN_PATH),True
def(USE_PKCS15_INIT),True
def(ENABLE_SM),True
True,!def(ENABLE_OPENSSL)
True,def(ENABLE_SM)
def(_WIN32),True
!def(WIN32),True
def(OPENSC_CONFIG_STRING),True
True,!def(ENABLE_SM)
True,def(HAVE_GETTIMEOFDAY)
True,!def(HAVE_GETPASS)
True,def(DEBUG)
True,!def(WIN32)
True,def(asepcos_USE_PIN_PATH)
def(ENABLE_SM),!def(HAVE_STRLCPY)
True,def(DEBUG_PROFILE)
def(ENABLE_ZLIB),!def(HAVE_STRLCPY)
def(HAVE_USBTOKEN),True
!def(HAVE_STRLCAT),True
!def(HAVE_GETPASS),(!def(HAVE_GETPASS)&!def(_WIN32))
!def(HAVE_STRLCPY),True
True,def(FORCE_VERIFY_RUTOKEN)
